Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,89.11818973235236,0,600.0,14905614,28.0,20.0,1,89.11818973235236,0,28.0,SAT,0,30.956,
2,1,1,85.44480538546533,0,600.0,14924088,24.0,20.0,1,85.44480538546533,1,52.0,SAT,0,26.253,
3,2,1,77.85315415689593,0,600.0,14905614,42.0,20.0,1,77.85315415689593,1,94.0,SAT,0,44.547,
4,2,1,76.23005227423288,0,600.0,14924088,47.0,20.0,1,76.23005227423288,1,141.0,SAT,0,49.499,
5,2,1,77.15872392446735,0,600.0,9372873,37.0,20.0,1,77.15872392446735,1,178.0,SAT,0,39.323,
6,3,1,1.0E9,0,600.0,14905614,0.0,0.0,-1,1.0E9,1,178.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,9.982,
7,2,1,80.6963779756002,0,600.0,742591,25.0,20.0,1,80.6963779756002,2,203.0,SAT,0,27.132,
8,4,1,98.50009435974164,0,600.0,14924088,11.0,20.0,1,98.50009435974164,2,214.0,SAT,0,13.74,
9,2,1,72.78979901029456,0,600.0,159313,42.0,20.0,1,72.78979901029456,2,256.0,SAT,0,44.211,
10,5,1,1.0E9,0,600.0,742591,0.0,0.0,-1,1.0E9,2,256.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,9.88,
