Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,82.7983752126251,0,600.0,5720238,11.0,20.0,1,82.7983752126251,0,11.0,SAT,0,13.279,
2,1,1,81.1552353462674,0,600.0,9851017,20.0,20.0,1,81.1552353462674,1,31.0,SAT,0,22.713,
3,2,1,1.0E9,0,600.0,9851017,0.0,0.0,-1,1.0E9,1,31.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.541,
4,1,1,80.97950300260453,0,600.0,3210949,15.0,20.0,1,80.97950300260453,1,46.0,SAT,0,17.525,
5,3,1,1.0E9,0,600.0,9851017,0.0,0.0,-1,1.0E9,1,46.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,12.171,
6,1,1,90.95673119533139,0,600.0,3224644,12.0,20.0,1,90.95673119533139,2,58.0,SAT,0,14.277,
7,4,1,1.0E9,0,600.0,5720238,0.0,0.0,-1,1.0E9,2,58.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,590.595,
8,1,1,82.99470573963522,0,600.0,10374912,12.0,20.0,1,82.99470573963522,2,70.0,SAT,0,14.634,
9,5,1,95.29411764705883,0,600.0,3224644,9.0,20.0,1,95.29411764705883,2,79.0,SAT,0,11.02,
10,1,1,86.61622493555605,0,600.0,8205317,21.0,20.0,1,86.61622493555605,3,100.0,SAT,0,23.768,
11,6,1,1.0E9,0,600.0,9851017,0.0,0.0,-1,1.0E9,3,100.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.387,
12,1,1,86.46093939850776,0,600.0,13624930,17.0,20.0,1,86.46093939850776,3,117.0,SAT,0,19.784,
13,7,1,1.0E9,0,600.0,9851017,0.0,0.0,-1,1.0E9,3,117.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.107,
14,1,1,79.2659151983946,0,600.0,2351854,28.0,20.0,1,79.2659151983946,4,145.0,SAT,0,30.666,
