1: crossover='subtree', crossover_probability='0.75', max_tree_depth='14', max_tree_nodes='1000000', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5', tournament_size='2', within_used='True'
2: crossover='fixed_twopoint', crossover_probability='0.6475888718587985', max_tree_depth='8', max_tree_nodes='59125', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.5483026275077401', tournament_size='9', within_used='True'
3: crossover='variable_onepoint', crossover_probability='0.6445920004639031', max_tree_depth='9', max_tree_nodes='239', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.8621087602135541', tournament_size='13', within_used='False'
4: crossover='variable_onepoint', crossover_probability='0.30970602992501817', max_tree_depth='8', max_tree_nodes='105945', mutate_duplicates='False', mutation='subtree', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.29321518154945214', tournament_size='14', within_used='False'
5: crossover='variable_onepoint', crossover_probability='0.5388204451730899', max_tree_depth='13', max_tree_nodes='85749', mutate_duplicates='False', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.4920112160525746', tournament_size='2', within_used='False'
6: crossover='fixed_twopoint', crossover_probability='0.5535381335619362', max_tree_depth='8', max_tree_nodes='281', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.7623586255909389', tournament_size='3', within_used='False'
7: crossover='fixed_twopoint', crossover_probability='0.1743121243230551', max_tree_depth='8', max_tree_nodes='75674', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.7343764790441942', tournament_size='14', within_used='True'
8: crossover='fixed_twopoint', crossover_probability='0.5441357958443563', max_tree_depth='8', max_tree_nodes='60', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.7754659891540578', tournament_size='14', within_used='True'
9: crossover='variable_onepoint', crossover_probability='0.8992012228067308', max_tree_depth='10', max_tree_nodes='113751', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='7', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.4612888400783789', tournament_size='10', within_used='False'
10: crossover='fixed_twopoint', crossover_probability='0.31378662133074287', max_tree_depth='10', max_tree_nodes='63', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5741994597291921', tournament_size='19', within_used='False'
11: crossover='fixed_twopoint', crossover_probability='0.2860986270976709', max_tree_depth='10', max_tree_nodes='526128', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.34858540822861395', tournament_size='15', within_used='False'
12: crossover='variable_twopoint', crossover_probability='0.13829342302224382', max_tree_depth='14', max_tree_nodes='27338', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.23656692847227792', tournament_size='15', within_used='False'
13: crossover='variable_onepoint', crossover_probability='0.23820568814642204', max_tree_depth='11', max_tree_nodes='1449', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='4', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.32590334931865317', tournament_size='4', within_used='False'
14: crossover='fixed_twopoint', crossover_probability='0.21693193445079853', max_tree_depth='10', max_tree_nodes='526128', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.34858540822861395', tournament_size='15', within_used='False'
15: crossover='variable_twopoint', crossover_probability='0.8050767301846157', max_tree_depth='8', max_tree_nodes='107', mutate_duplicates='False', mutation='subtree', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.483557591445383', tournament_size='11', within_used='True'
16: crossover='fixed_twopoint', crossover_probability='0.15135655022245562', max_tree_depth='8', max_tree_nodes='105658', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6931269486124916', tournament_size='12', within_used='False'
17: crossover='fixed_onepoint', crossover_probability='0.7489380106746938', max_tree_depth='11', max_tree_nodes='213', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='6', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.24058311535759014', tournament_size='16', within_used='True'
18: crossover='fixed_twopoint', crossover_probability='0.1984901989298452', max_tree_depth='9', max_tree_nodes='756266', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.12088801734028438', tournament_size='14', within_used='True'
19: crossover='subtree', crossover_probability='0.24526848848798047', max_tree_depth='9', max_tree_nodes='877', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6257220381889975', tournament_size='7', within_used='True'
20: crossover='fixed_twopoint', crossover_probability='0.18587172790441678', max_tree_depth='10', max_tree_nodes='526128', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.34858540822861395', tournament_size='15', within_used='False'
21: crossover='fixed_onepoint', crossover_probability='0.7000275159242871', max_tree_depth='10', max_tree_nodes='1381', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.6607051146158153', tournament_size='11', within_used='True'
22: crossover='fixed_twopoint', crossover_probability='0.28489742048784694', max_tree_depth='12', max_tree_nodes='370921', mutate_duplicates='False', mutation='subtree', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.486168678273191', tournament_size='6', within_used='True'
23: crossover='subtree', crossover_probability='0.6239958596307945', max_tree_depth='8', max_tree_nodes='92', mutate_duplicates='False', mutation='subtree', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.14840252013184987', tournament_size='13', within_used='False'
24: crossover='subtree', crossover_probability='0.39895899545811964', max_tree_depth='14', max_tree_nodes='24552', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.7363413537183812', tournament_size='8', within_used='True'
25: crossover='variable_onepoint', crossover_probability='0.13475002359268684', max_tree_depth='12', max_tree_nodes='122261', mutate_duplicates='True', mutation='subtree', mutation_events='4', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.6042502336436554', tournament_size='18', within_used='True'
26: crossover='fixed_onepoint', crossover_probability='0.29406390782873465', max_tree_depth='13', max_tree_nodes='400907', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='7', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.8049948005969976', tournament_size='18', within_used='False'
